date.time,unit,value
12/3/2019 3:43,C,1.034
12/3/2019 7:43,C,0.531
12/3/2019 11:43,C,1.034
12/3/2019 15:43,C,0.531
12/3/2019 19:43,C,1.034
12/3/2019 23:43,C,0.531
12/4/2019 3:43,C,0.531
12/4/2019 7:43,C,1.034
12/4/2019 11:43,C,1.034
12/4/2019 15:43,C,1.034
12/4/2019 19:43,C,1.034
12/4/2019 23:43,C,1.034
12/5/2019 3:43,C,1.034
12/5/2019 7:43,C,1.034
12/5/2019 11:43,C,1.034
12/5/2019 15:43,C,1.034
12/5/2019 19:43,C,1.034
12/5/2019 23:43,C,1.034
12/6/2019 3:43,C,1.034
12/6/2019 7:43,C,1.034
12/6/2019 11:43,C,1.034
12/6/2019 15:43,C,1.034
12/6/2019 19:43,C,1.034
12/6/2019 23:43,C,1.034
12/7/2019 3:43,C,0.531
12/7/2019 7:43,C,0.531
12/7/2019 11:43,C,0.531
12/7/2019 15:43,C,1.034
12/7/2019 19:43,C,1.034
12/7/2019 23:43,C,1.034
12/8/2019 3:43,C,1.034
12/8/2019 7:43,C,1.034
12/8/2019 11:43,C,1.034
12/8/2019 15:43,C,1.034
12/8/2019 19:43,C,1.034
12/8/2019 23:43,C,1.034
12/9/2019 3:43,C,1.034
12/9/2019 7:43,C,1.034
12/9/2019 11:43,C,0.531
12/9/2019 15:43,C,0.531
12/9/2019 19:43,C,0.531
12/9/2019 23:43,C,0.531
12/10/2019 3:43,C,0.531
12/10/2019 7:43,C,0.531
12/10/2019 11:43,C,0.531
12/10/2019 15:43,C,0.531
12/10/2019 19:43,C,0.531
12/10/2019 23:43,C,0.531
12/11/2019 3:43,C,0.531
12/11/2019 7:43,C,0.531
12/11/2019 11:43,C,0.531
12/11/2019 15:43,C,0.531
12/11/2019 19:43,C,0.531
12/11/2019 23:43,C,0.531
12/12/2019 3:43,C,0.531
12/12/2019 7:43,C,0.531
12/12/2019 11:43,C,0.531
12/12/2019 15:43,C,0.028
12/12/2019 19:43,C,0.028
12/12/2019 23:43,C,0.028
12/13/2019 3:43,C,0.028
12/13/2019 7:43,C,0.028
12/13/2019 11:43,C,0.028
12/13/2019 15:43,C,0.028
12/13/2019 19:43,C,0.028
12/13/2019 23:43,C,0.028
12/14/2019 3:43,C,0.028
12/14/2019 7:43,C,0.028
12/14/2019 11:43,C,0.028
12/14/2019 15:43,C,0.028
12/14/2019 19:43,C,0.028
12/14/2019 23:43,C,0.028
12/15/2019 3:43,C,0.028
12/15/2019 7:43,C,0.028
